time_s,raw_resp,bandpassed_resp,enhanced_resp,threshold,is_resp_peak
511.02,0.13196,-0.135769945681366,-0.0696767892000227,0.0047168873163034,0
511.03,0.14174,-0.136648294410045,-0.0707808919836695,0.00463743289073136,0
511.04,0.14956,-0.137340620246296,-0.0717943030450302,0.00455626283256347,0
511.05,0.15738,-0.137843898206236,-0.0727142615173019,0.00447354279207446,0
511.06,0.16325,-0.138155486173946,-0.073538403843605,0.0043894352907945,0
511.07,0.17009,-0.138273130802498,-0.0742647678299777,0.00430409961499118,0
511.08,0.17498,-0.138194972561564,-0.0748917920901989,0.00421769182062814,0
511.09,0.17986,-0.137919549921997,-0.0754183110934771,0.0041303648439161,0
511.1,0.18573,-0.137445802669729,-0.0758435461266671,0.00404226870777635,0
511.11,0.19159,-0.136773074343247,-0.0761670925688883,0.00395355081111815,0
511.12,0.19746,-0.135901113790846,-0.0763889039452779,0.00386435628495981,0
511.13,0.20332,-0.134830075845809,-0.0765092732762072,0.00377482839723282,0
511.14,0.20919,-0.133560521119609,-0.0765288122677616,0.00368510898669134,0
511.15,0.21603,-0.132093414915145,-0.0764484288988715,0.00359533890574936,0
511.16,0.2219,-0.130430125263997,-0.0762693039513733,0.00350565845228135,0
511.17,0.22874,-0.128572420093552,-0.0759928670035183,0.00341620777139993,0
511.18,0.23656,-0.126522463531781,-0.0756207723676792,0.00332712720987931,0
511.19,0.24438,-0.124282811359322,-0.0751548754023212,0.00323855760811206,0
511.2,0.25318,-0.121856405620371,-0.0745972095699584,0.00315064051713587,0
511.21,0.26197,-0.119246568405699,-0.073949964550038,0.00306351833120888,0
511.22,0.27077,-0.116456994822901,-0.0732154656515162,0.0029773343295085,0
511.23,0.28055,-0.113491745170761,-0.0723961547069612,0.00289223262365385,0
511.24,0.28935,-0.110355236336272,-0.0714945725705495,0.00280835801079304,0
511.25,0.29814,-0.107052232434571,-0.0705133432879922,0.00272585573485854,0
511.26,0.30694,-0.103587834713616,-0.069455159958392,0.0026448711611992,0
511.27,0.31574,-0.0999674707470321,-0.0683227722669433,0.00256554937208673,0
511.28,0.32454,-0.0961968829400316,-0.0671189756334385,0.00248803469252111,0
511.29,0.33236,-0.092282116374784,-0.065846601894555,0.00241247015729295,0
511.3,0.34018,-0.088229506022981,-0.0645085114174012,0.00233899693138146,0
511.31,0.34702,-0.0840456633546764,-0.0631075865271073,0.00226775369646589,0
511.32,0.35484,-0.0797374623737273,-0.0616467261215706,0.00219887601660917,0
511.33,0.36168,-0.0753120251113531,-0.0601288413409485,0.00213249569604825,0
511.34,0.36852,-0.0707767066104359,-0.0585568521573127,0.00206874014152208,0
511.35,0.37634,-0.0661390794342281,-0.0569336847502735,0.00200773174072131,0
511.36,0.38416,-0.0614069177340892,-0.0552622695366744,0.00194958726730146,0
511.37,0.39198,-0.0565881809117602,-0.0535455397261149,0.00189441732152043,0
511.38,0.40078,-0.0516909969124795,-0.0517864302786444,0.00184232581400594,0
511.39,0.4086,-0.0467236451859696,-0.0499878771461966,0.00179340949849813,0
511.4,0.4174,-0.0416945393529548,-0.0481528166850105,0.00174775755771637,0
511.41,0.42522,-0.0366122096154241,-0.0462841851323308,0.00170545124483436,0
511.42,0.43206,-0.0314852849493167,-0.0443849180470957,0.00166656358147488,0
511.43,0.43988,-0.0263224751186897,-0.0424579496211543,0.00163115911170588,0
511.44,0.44575,-0.0211325525507161,-0.0405062117749297,0.00159929371027312,0
511.45,0.45161,-0.0159243341110686,-0.0385326329594683,0.00157101444226768,0
511.46,0.4565,-0.0107066628193597,-0.0365401365956531,0.00154635947061433,0
511.47,0.46237,-0.00548838954434027,-0.0345316390911321,0.00152535800717846,0
511.48,0.46823,-0.000278354718497146,-0.0325100473863711,0.00150803030291857,0
511.49,0.47312,0.00491462988845094,-0.0304782559932772,0.0014943876723372,0
511.5,0.47996,0.010081799297895,-0.0284391435031484,0.00148443254748438,0
511.51,0.4868,0.0152144533135664,-0.0263955685553289,0.00147815855691441,0
511.52,0.49462,0.0203039743371113,-0.0243503652738875,0.00147555062526074,0
511.53,0.50342,0.0253418449699494,-0.0223063381968501,0.00147658508944715,0
511.54,0.51222,0.0303196653639259,-0.0202662567408761,0.00148122982796851,0
511.55,0.52199,0.0352291702839163,-0.0182328492636073,0.00148944440013079,0
511.56,0.53177,0.0400622458462695,-0.0162087968059359,0.00150118019261742,0
511.57,0.54252,0.044810945897784,-0.0141967266167778,0.00151638057123336,0
511.58,0.55327,0.0494675080007911,-0.0121992055830901,0.0015349810361606,0
511.59,0.56305,0.0540243689908737,-0.010218733707225,0.00155690937952987,0
511.6,0.57283,0.058474180074776,-0.00825773779151943,0.00158208584457209,0
511.61,0.58358,0.0628098214371518,-0.00631856550539638,0.00161042328605564,0
511.62,0.59335,0.0670244163259593,-0.00440348002221946,0.00164182733214328,0
511.63,0.60313,0.071111344587533,-0.00251465542061663,0.00167619654821525,0
511.64,0.61193,0.0750642556236443,-0.000654173046842837,0.00171342260360363,0
511.65,0.6217,0.0788770807442055,0.0011759809701251,0.00175339044256799,0
511.66,0.63245,0.082544044890661,0.00297391687171666,0.00179597846121223,0
511.67,0.64321,0.0860596777065573,0.00473784093336612,0.0018410586923968,0
511.68,0.65494,0.0894188239332736,0.00646605351138208,0.00188768864925335,0
511.69,0.66569,0.0926166531104296,0.0081569453859646,0.00193459619383769,0
511.7,0.6784,0.0956486685620643,0.00980899236265987,0.00198169819063744,0
511.71,0.6911,0.0985107156512911,0.0114207481525773,0.00202971923948039,0
511.72,0.70381,0.10119898928778,0.0129908356170455,0.00207893205942138,0
511.73,0.7175,0.103710040674092,0.0145179365331305,0.00212922275321587,0
511.74,0.72923,0.106040783278594,0.0160007801100457,0.00218047426624353,0
511.75,0.74096,0.1081884980244,0.0174381305598807,0.00223256662591904,0
511.76,0.75171,0.110150837685524,0.0188287740957203,0.00228537720642772,0
511.77,0.76149,0.111925830483194,0.0201715057923229,0.00233878102108561,0
511.78,0.77028,0.113511882877017,0.021465116795158,0.00239265104440704,0
511.79,0.78006,0.114907781547483,0.0227083823990058,0.00244685856565693,0
511.8,0.7869,0.116112694568049,0.0239000515341341,0.00250127357526136,0
511.81,0.79472,0.117126171766802,0.0250388381935628,0.00255576518494358,0
511.82,0.80156,0.11794814427951,0.026123415307279,0.00261020208183639,0
511.83,0.80743,0.118578923297557,0.0271524115177443,0.00266445301609609,0
511.84,0.81232,0.119019198016063,0.0281244112361395,0.0027183873207094,0
511.85,0.81818,0.119270032789169,0.0290379582623496,0.0027718754612495,0
511.86,0.82209,0.11933286350118,0.0298915631368168,0.00282478961231633,0
